DATE,FACILITYID,FACILITYLOCATION,PRODUCTIONVOLUME,STATUS,PRESSURE,TEMPERATURE,OPERATOR
6/12/2022,FAC_001,New Sharonport,5852.32,normal,140.6269006,85.72481133,Jeffrey Brown
6/12/2022,FAC_002,Reynoldsmouth,6681.7,normal,130.5871152,83.97212619,Shannon Bradley
6/12/2022,FAC_003,West Johnfort,5473.13,normal,128.5006353,93.90282527,Margaret Mathis
6/12/2022,FAC_004,East Rhondaberg,5018.36,normal,133.4178138,79.92128219,Marc Patel
6/12/2022,FAC_005,Sherylview,6601.47,normal,124.0595184,72.72471307,Angela Sparks
6/13/2022,FAC_001,New Sharonport,6094.53,normal,112.1147605,88.96112359,James Hall
6/13/2022,FAC_002,Reynoldsmouth,5481.19,normal,144.0124112,75.23547715,Melissa Clayton
6/13/2022,FAC_003,West Johnfort,4643.89,normal,128.1851879,95.34786944,Gregory Freeman
6/13/2022,FAC_004,East Rhondaberg,3378.98,equipment_failure,158.1195513,89.76803196,Derek Hoffman
6/13/2022,FAC_005,Sherylview,6142.88,normal,121.4833385,81.31528706,April Perez
6/14/2022,FAC_001,New Sharonport,4894.47,normal,182.5563161,82.10745873,David Hopkins
6/14/2022,FAC_002,Reynoldsmouth,4512.91,normal,162.3340406,74.67775743,David Parker
6/14/2022,FAC_003,West Johnfort,4655.52,normal,163.9610128,91.61534566,Robin Anderson
6/14/2022,FAC_004,East Rhondaberg,3836.78,equipment_failure,153.4859776,88.93226556,John Lee
6/14/2022,FAC_005,Sherylview,5892.45,normal,162.7120299,78.22390654,Donna Martin
6/15/2022,FAC_001,New Sharonport,4859.23,normal,173.5988093,92.12648703,Andrew Johnson
6/15/2022,FAC_002,Reynoldsmouth,4252.18,normal,118.7625874,79.60563922,Aaron Santos
6/15/2022,FAC_003,West Johnfort,5916.12,normal,170.7535871,87.0804888,Angela Daniels
6/15/2022,FAC_004,East Rhondaberg,6455.74,normal,145.3983519,83.21593269,Jason Davis
6/15/2022,FAC_005,Sherylview,5547.91,normal,125.2900197,77.13322352,Robert Gonzalez DDS
6/16/2022,FAC_001,New Sharonport,5009.73,normal,195.3093891,80.48528497,Justin Scott
6/16/2022,FAC_002,Reynoldsmouth,5233.25,normal,122.4171975,64.77489461,William Alexander
6/16/2022,FAC_003,West Johnfort,4738.72,normal,154.6875022,44.44245968,Michael Sullivan
6/16/2022,FAC_004,East Rhondaberg,4770.36,normal,145.2092292,82.14020313,David Martinez
6/16/2022,FAC_005,Sherylview,5812.38,normal,128.4048069,81.16699286,Michael Johnston
6/17/2022,FAC_001,New Sharonport,4898.06,normal,166.4541532,72.39023231,Steven Murphy
6/17/2022,FAC_002,Reynoldsmouth,4739.3,normal,131.5816124,85.22450166,Nathan Wheeler
6/17/2022,FAC_003,West Johnfort,5085.27,normal,178.7784857,98.27534262,Sarah Underwood
6/17/2022,FAC_004,East Rhondaberg,4496.71,normal,151.674795,89.02525134,Peter Phillips
6/17/2022,FAC_005,Sherylview,4277.44,normal,181.4367321,91.58190598,Amanda Charles
6/18/2022,FAC_001,New Sharonport,4847.39,normal,127.9526617,85.65589683,Megan Maxwell
6/18/2022,FAC_002,Reynoldsmouth,5208.12,normal,148.6220467,85.91779415,Tiffany Russell
6/18/2022,FAC_003,West Johnfort,5949.42,normal,141.2033299,68.53945653,Beverly Munoz
6/18/2022,FAC_004,East Rhondaberg,4688.29,normal,168.9916563,93.97470608,Don Martinez
6/18/2022,FAC_005,Sherylview,3457.61,normal,95.68943803,70.22737559,Robert Herrera
6/19/2022,FAC_001,New Sharonport,5116.73,normal,164.9874205,78.90101053,Travis Lawson
6/19/2022,FAC_002,Reynoldsmouth,5459.4,normal,169.6393193,64.11689896,Heather Shannon
6/19/2022,FAC_003,West Johnfort,4225.55,normal,119.7255322,90.66266267,Steven Hale
6/19/2022,FAC_004,East Rhondaberg,5268.99,normal,145.9832456,95.6260447,Anthony Myers
6/19/2022,FAC_005,Sherylview,5125.92,normal,149.6550955,104.8613237,Jordan Olsen
6/20/2022,FAC_001,New Sharonport,5251.26,normal,111.2441361,80.29625126,Caitlin Phillips
6/20/2022,FAC_002,Reynoldsmouth,5280.14,normal,173.6937573,78.58268371,Derrick Jones DDS
6/20/2022,FAC_003,West Johnfort,5221.81,normal,145.689075,92.42294928,Emily Ewing
6/20/2022,FAC_004,East Rhondaberg,5274.1,normal,177.1264963,95.41279953,Stephen Burns
6/20/2022,FAC_005,Sherylview,5592.92,normal,132.3435469,93.22704824,Zachary Jackson
6/21/2022,FAC_001,New Sharonport,4769.39,normal,160.6624256,78.34196,David Maxwell
6/21/2022,FAC_002,Reynoldsmouth,5211.39,normal,145.6084566,59.80574367,Tracy Rios
6/21/2022,FAC_003,West Johnfort,5650.69,normal,136.5786061,74.7666879,Alyssa Ferguson
6/21/2022,FAC_004,East Rhondaberg,4370.17,normal,167.718517,88.59475748,Martin Zimmerman
6/21/2022,FAC_005,Sherylview,5579.12,normal,160.4303741,88.7732253,Robert Soto
6/22/2022,FAC_001,New Sharonport,4564.13,normal,148.9814418,87.78329151,Jason Petersen
6/22/2022,FAC_002,Reynoldsmouth,4972.2,normal,103.7822421,102.2768429,Gabriel Matthews
6/22/2022,FAC_003,West Johnfort,5613.71,normal,137.096703,94.1014962,Zachary Vaughn
6/22/2022,FAC_004,East Rhondaberg,5304.25,normal,132.1523936,82.60492063,Angela Lawson
6/22/2022,FAC_005,Sherylview,5573.21,normal,150.7819144,67.54840587,Elizabeth Carroll
6/23/2022,FAC_001,New Sharonport,4044.97,normal,170.4785515,84.1049975,Jennifer Lewis
6/23/2022,FAC_002,Reynoldsmouth,5684.61,normal,168.4640024,70.19085829,Joshua Holmes
6/23/2022,FAC_003,West Johnfort,5507.24,normal,159.9582412,97.83387135,Sarah Hess
6/23/2022,FAC_004,East Rhondaberg,5796.41,normal,139.839226,96.49776678,Danielle Briggs
6/23/2022,FAC_005,Sherylview,4794.96,normal,145.7591766,87.1746505,Kimberly Stewart
6/24/2022,FAC_001,New Sharonport,5863.82,normal,140.670498,98.06726213,Lisa Atkinson
6/24/2022,FAC_002,Reynoldsmouth,5079.68,normal,181.9953214,66.87177018,Nicole Harrison
6/24/2022,FAC_003,West Johnfort,4854.38,normal,156.2944461,66.36809698,Regina Ford
6/24/2022,FAC_004,East Rhondaberg,3347.55,maintenance,136.5963453,98.35691429,Rebecca Kelly
6/24/2022,FAC_005,Sherylview,5661.8,normal,159.5556367,106.007047,Mark Miller
6/25/2022,FAC_001,New Sharonport,4649.55,normal,102.5523551,74.40670117,Alexandra Burns
6/25/2022,FAC_002,Reynoldsmouth,5292.04,normal,111.8737784,61.57647908,Nicholas Hardy
6/25/2022,FAC_003,West Johnfort,4291.8,normal,159.8091357,98.84269055,Daniel Haney
6/25/2022,FAC_004,East Rhondaberg,5674.45,normal,153.7612014,83.70305837,Crystal Bird
6/25/2022,FAC_005,Sherylview,5478.81,normal,149.7100721,86.63821295,Paige Solomon
6/26/2022,FAC_001,New Sharonport,5515.47,normal,139.3680767,92.78818788,Jamie Murphy
6/26/2022,FAC_002,Reynoldsmouth,5212.28,normal,148.2938417,72.44004513,Jennifer Salazar
6/26/2022,FAC_003,West Johnfort,5841.6,normal,149.6026433,70.60627855,Bryan Knapp
6/26/2022,FAC_004,East Rhondaberg,5137.87,normal,128.1345476,73.14840429,Barbara Graham
6/26/2022,FAC_005,Sherylview,5629.39,normal,172.9026278,83.2461081,David Diaz
6/27/2022,FAC_001,New Sharonport,4691.55,normal,164.5405075,76.53774257,Jason Keith
6/27/2022,FAC_002,Reynoldsmouth,5491.91,normal,159.7114927,81.32047788,Tracy George
6/27/2022,FAC_003,West Johnfort,5321.23,normal,146.3091179,84.51233749,Jeremy Ross
6/27/2022,FAC_004,East Rhondaberg,4722.9,normal,133.7729184,77.88531472,George Oneal
6/27/2022,FAC_005,Sherylview,4726.82,normal,145.0440247,87.63416459,Brittany Fleming
6/28/2022,FAC_001,New Sharonport,5731.4,normal,147.5381411,94.73064191,Alyssa Boone
6/28/2022,FAC_002,Reynoldsmouth,5045.78,normal,145.9712597,68.4438174,Jill Williams
6/28/2022,FAC_003,West Johnfort,4994.84,normal,177.237589,83.22266821,Daniel Baker
6/28/2022,FAC_004,East Rhondaberg,5233.35,normal,135.9328028,81.64401657,Natasha Drake
6/28/2022,FAC_005,Sherylview,5574.72,normal,135.3835694,75.94424423,Brian Lin
6/29/2022,FAC_001,New Sharonport,4770.77,normal,152.3386422,73.59872182,Taylor Snyder
6/29/2022,FAC_002,Reynoldsmouth,5958.28,normal,139.6904034,59.95341566,Matthew Morton
6/29/2022,FAC_003,West Johnfort,5318.5,normal,165.6733295,87.13442975,Cody Joseph
6/29/2022,FAC_004,East Rhondaberg,5111.7,normal,139.9200578,89.32544911,Tammy Mcintosh
6/29/2022,FAC_005,Sherylview,4981.46,normal,118.7958685,93.6800496,Richard Jones
6/30/2022,FAC_001,New Sharonport,5184.33,normal,127.3666175,77.00601423,Ashley Durham
6/30/2022,FAC_002,Reynoldsmouth,5342.43,normal,181.2979496,87.9537899,Karen Gutierrez
6/30/2022,FAC_003,West Johnfort,6118.05,normal,188.3611017,72.22159924,Michael Hicks
6/30/2022,FAC_004,East Rhondaberg,5087.17,normal,149.1219265,82.78362352,Tracy Guzman
6/30/2022,FAC_005,Sherylview,4294.02,normal,120.7090195,98.61795706,Aaron Bray
7/1/2022,FAC_001,New Sharonport,5768.43,normal,167.112614,76.11521203,Lori Cox
7/1/2022,FAC_002,Reynoldsmouth,3691.33,normal,179.3869791,93.66435704,Thomas Daniels
7/1/2022,FAC_003,West Johnfort,4552.61,normal,148.9795279,90.8483412,Joseph Cook
7/1/2022,FAC_004,East Rhondaberg,4264.42,normal,147.3335117,101.1637083,Fernando Brown
7/1/2022,FAC_005,Sherylview,4430.74,normal,107.0605463,91.55174157,Jamie Lopez
7/2/2022,FAC_001,New Sharonport,5656.02,normal,176.5455626,93.91118976,Sandra Wood
7/2/2022,FAC_002,Reynoldsmouth,4540.75,normal,142.2873344,80.3459548,Tammy Gordon
7/2/2022,FAC_003,West Johnfort,4020.31,normal,161.7121981,82.42006898,Stephen Fletcher
7/2/2022,FAC_004,East Rhondaberg,5222.95,normal,100.6697806,72.53770869,Laura Cruz
7/2/2022,FAC_005,Sherylview,4924.46,normal,144.6115023,77.35998207,Alexandria Williams
7/3/2022,FAC_001,New Sharonport,4857.84,normal,141.8516004,63.97559035,Lori Rose
7/3/2022,FAC_002,Reynoldsmouth,5248.63,normal,166.5523108,69.53441038,Melanie Gray
7/3/2022,FAC_003,West Johnfort,4704.1,normal,138.7796505,104.2449513,Lisa King
7/3/2022,FAC_004,East Rhondaberg,4883.66,normal,165.205022,72.20988356,Summer Lawrence
7/3/2022,FAC_005,Sherylview,5399.06,normal,155.305836,79.75650491,Robert Perez
7/4/2022,FAC_001,New Sharonport,4669.66,normal,147.8247931,87.83429928,William Houston
7/4/2022,FAC_002,Reynoldsmouth,4536.98,normal,174.9652389,79.71210503,Jonathan Price
7/4/2022,FAC_003,West Johnfort,4744.48,normal,123.5526199,102.1394564,Paige Stewart
7/4/2022,FAC_004,East Rhondaberg,6443.59,normal,183.4068969,71.1419228,Danielle Ward
7/4/2022,FAC_005,Sherylview,5926.94,normal,152.5011306,77.45862873,Emma Barr
7/5/2022,FAC_001,New Sharonport,5372.37,normal,156.2612177,92.39474828,Bill Payne
7/5/2022,FAC_002,Reynoldsmouth,4979.3,normal,137.8587822,88.7913503,Michael Scott
7/5/2022,FAC_003,West Johnfort,5191.67,normal,165.1700627,90.15942958,Todd Wagner
7/5/2022,FAC_004,East Rhondaberg,1909.88,weather,167.0844059,104.3817903,Stacy Long
7/5/2022,FAC_005,Sherylview,5120.94,normal,142.2695385,86.71610898,Eric Grant
7/6/2022,FAC_001,New Sharonport,5584.67,normal,182.7353302,81.60453534,Matthew Evans
7/6/2022,FAC_002,Reynoldsmouth,5073.13,normal,137.3070387,76.12644677,Theresa Howe
7/6/2022,FAC_003,West Johnfort,5410.68,normal,168.445673,98.80733744,Mikayla Reyes
7/6/2022,FAC_004,East Rhondaberg,4911.6,normal,156.7582544,88.99914415,Anthony Castillo
7/6/2022,FAC_005,Sherylview,5577.73,normal,116.074322,92.8191482,Tracey Watson
7/7/2022,FAC_001,New Sharonport,5049.6,normal,122.2926065,87.10308369,Brenda Morrow
7/7/2022,FAC_002,Reynoldsmouth,3816.93,normal,138.3138524,85.09629049,Scott Bell
